Brand,Area,Whiskies,Votes,Rating,WB Ranking
HighGlen,Switzerland,7,4,80.25,D
Highgrove,Scotland,8,3,85.56,C
Highland,Scotland,20,9,84.52,D
Highland Aingeal,Scotland,3,3,84.82,D
Highland Bard,Scotland,1,NA,NA,G
Highland Baron,Scotland,3,NA,NA,G
Highland Bird,Scotland,2,2,59.2,G
Highland Black,Scotland,1,1,79,E
Highland Blended Malt,Scotland,3,3,84.81,D
Highland Brook,Scotland,5,NA,NA,G
Highland Cattle,Scotland,3,2,77,E
Highland Chief,Scotland,5,3,75.22,E
Highland Circle,Scotland,2,1,83,D
Highland Clan,Scotland,9,NA,NA,G
Highland Command,Scotland,4,1,87,C
Highland Cross,Scotland,1,NA,NA,G
Highland Cup,Scotland,1,NA,NA,G
Highland Dream,Scotland,2,1,84.5,D
Highland Earl,Scotland,2,1,74,F
Highland Fusilier,Scotland,30,22,85.65,C
Highland Gold,Scotland,2,2,73.75,F
Highland Grand,Scotland,1,NA,NA,G
Highland Harvest,Scotland,11,3,76.86,E
Highland Heart,Scotland,13,13,82.59,D
Highland Heather,Scotland,1,NA,NA,G
Highland Inspiration,Scotland,1,1,80.5,D
Highland Journey,Scotland,1,1,78,E
Highland King,Scotland,5,3,84.92,D
Highland Laird,Scotland,11,NA,NA,G
Highland Legend,Scotland,1,1,71,F
Highland Malt,Scotland,4,4,74.05,F
Highland Military Tattoo,Scotland,1,NA,NA,G
Highland Mist,Scotland,3,3,82.78,D
Highland Moss,Scotland,2,2,78.75,E
Highland Mount,Scotland,1,NA,NA,G
Highland Mountain,Scotland,1,1,87.5,C
Highland Nectar,Scotland,3,1,76,E
Highland Park,Scotland,2004,1435,86.94,C
Highland PBS,Scotland,2,1,81,D
Highland Piper,Scotland,2,1,64,G
Highland Poacher,Scotland,2,NA,NA,G
Highland Pride,Scotland,5,3,74.33,F
Highland Prince,Scotland,5,NA,NA,G
Highland Queen,Scotland,51,28,79.2,E
Highland Region,Scotland,5,4,86.42,C
Highland Regional Collection,Scotland,1,NA,NA,G
Highland River,Scotland,1,1,81.5,D
Highland Rose,Scotland,2,2,57.5,G
Highland Scotch Whisky,Scotland,1,1,73,F
Highland Shield,Scotland,1,NA,NA,G
Highland Single Malt,Scotland,6,2,89.54,C
Highland Single Malt Scotch Whisky,Scotland,5,2,79.5,E
Highland Single Malt Whisky,Scotland,3,1,85,C
Highland Special,Scotland,1,NA,NA,G
Highland Spey,Scotland,1,1,90.75,B
Highland Sporran,Scotland,1,NA,NA,G
Highland Star,United Kingdom,NA,NA,NA,G
Highland Supreme,Scotland,1,NA,NA,G
Highland Tower,Scotland,1,NA,NA,G
Highland Vale,Scotland,1,NA,NA,G
Highland Way,Scotland,1,NA,NA,G
Highland!,Scotland,1,1,79,E
Highland's Friends,Scotland,2,1,50,G
Highlander,Scotland,4,1,83,D
Highlands Whisky,Scotland,3,1,12.33,G
Highspire,Canada,1,NA,NA,G
Highwood Distillers,Canada,10,6,81.32,D
Hill and Hill,United States,5,NA,NA,G
Hillock,Germany,6,4,69.58,G
Hillrock Estate,United States,4,3,84.44,D
Hillside,Scotland,8,7,91.43,B
Hinricus Noyte,Germany,4,3,82.22,D
Hips,Japan,1,NA,NA,G
Hiram Walker,Canada,12,3,78.69,E
Hirsch,United States,2,2,84.57,D
Hirsch Selection,United States,18,9,84.27,D
His Excellency,Scotland,4,NA,NA,G
HISS,Scotland,1,1,89.67,C
HMY Britannia,,2,NA,NA,G
Hochstadter's,United States,5,3,80.39,D
Hogs,United States,1,1,74.75,F
Hogshead,Scotland,1,1,81.4,D
Hogwash,Scotland,1,1,76,E
Hohenheimer Whisky,Germany,5,1,50,G
Höllberg,Germany,2,2,61.75,G
Hollen,Switzerland,36,20,77.59,E
Holt's Liqueur,Scotland,1,NA,NA,G
Homberg KG,Germany,1,NA,NA,G
Home Blend,Scotland,3,2,88.97,C
Homegrown,United States,1,1,76,E
Homestead,United States,1,1,65,G
Hooker's House,United States,8,1,83,D
Hopetoun House,Scotland,2,1,81,D
Hopkins' Navy Supreme,Scotland,3,2,86.5,C
Höritröpfli,Switzerland,1,1,92,B
Horse Guards,United Kingdom,NA,NA,NA,G
Horstman,Netherlands,4,2,69.54,G
Hotel Hof Weissbad,Switzerland,1,1,70,F
Hotel Muehlebach,,1,NA,NA,G
Hotspur,Scotland,3,NA,NA,G
House Malt,Scotland,34,31,83.91,D
House of Campbell,Scotland,2,1,77,E
House of Commons,Scotland,4,1,82,D
House of Davaar,Scotland,1,NA,NA,G
House of Hazelwood,Scotland,3,3,85.2,C
House of Lords,Scotland,28,16,80.58,D
House of Malt,Scotland,3,2,81.5,D
House of Peers,Scotland,12,6,85.31,C
House of Stuart,Scotland,7,NA,NA,G
House Spirits,United States,7,1,84,D
Houstoun House,Scotland,1,NA,NA,G
Howard MacLaren,Scotland,3,1,77.4,E
Hudson,United States,40,30,72.41,F
Hudson's Bay,Scotland,3,2,84.84,D
Humbel Distillery,Switzerland,20,7,76.5,E
Hunch Poitin,Ireland,NA,NA,NA,G
Hundred Pipers,Scotland,1,NA,NA,G
Hunter's Choice,,1,NA,NA,G
Hunter's Glen,Scotland,2,1,80,D
Hunting Lodge,Scotland,4,3,74.08,F
Huntly,Scotland,4,2,88.5,C
Hurricane Whisky,Italy,NA,NA,NA,G
Hüttengold,Germany,1,1,89.17,C
Huxley,,1,1,76.92,E
Hven,Sweden,12,11,82.05,D
Hyde,Ireland,13,9,79.95,E
I.W. Harper,United States,23,8,82.71,D
Ichiro's,Japan,1,1,92.5,B
Iconic Speyside,Scotland,NA,NA,NA,G
Ila Insvla,Scotland,1,1,90.5,B
Ile Rubaidh,Scotland,1,1,87.37,C
Ìle Six,Scotland,NA,NA,NA,G
Images of Ayrshire,Scotland,2,2,87.58,C
Images of Bardstown,United States,4,3,84.57,D
Images of Dufftown,Scotland,9,6,84.57,D
Images of Islay,Scotland,29,20,86.21,C
Images of Orkney,Scotland,1,1,90.67,B
Images of Tain,Scotland,2,2,86.41,C
Immortal Memory,Scotland,1,1,73,F
Immortal Spirits & Distilling Company,United States,1,NA,NA,G
Imperial,Scotland,485,376,85.92,C
Imperial (USA),United States,1,NA,NA,G
Imperial Blue,India,1,1,50.5,G
Imperial Tribute,,1,1,86,C
Inattendu,Scotland,1,1,91,B
Inchdrewer,Scotland,1,1,77,E
Inchfad,Scotland,4,4,79.19,E
Inchgower,Scotland,342,257,85.64,C
Inchmoan,Scotland,11,11,76.52,E
Inchmurrin,Scotland,170,113,82.93,D
Indian Kettles,United States,1,1,71,F
Infinity,Scotland,1,1,87.44,C
Inganess Bay,Scotland,1,1,87.67,C
Iniquity,Australia,8,NA,NA,G
Inish Turk Beg,Ireland,1,1,86.75,C
Inishowen,Ireland,3,2,77.13,E
Innismore,Ireland,1,1,77,E
International Garden Festival,Scotland,1,NA,NA,G
Intravagan'za,Scotland,2,2,84.42,D
Inver Bridge,Scotland,1,1,90.43,B
Inver House,Scotland,25,5,78.63,E
Inveralmond,Scotland,1,NA,NA,G
Inverdice,Scotland,1,NA,NA,G
Inverey,Scotland,4,1,76,E
Inverglen,Scotland,2,1,74,F
Invergordon,Scotland,333,276,86.67,C
Inverleven,Scotland,99,69,85.86,C
Inverlochy Castle,Scotland,4,1,85.5,C
Inverness,Scotland,2,1,85,C
Inverness Caledonian Thistle F.C.,Scotland,1,NA,NA,G
Inverness Cream,Scotland,2,1,63.5,G
Inveroran,Scotland,1,1,81,D
Iona,Scotland,2,1,80.5,D
Iona Royale,Scotland,1,1,89.5,C
Ireland,Ireland,29,29,88.56,C
Irish,Ireland,4,NA,NA,G
Irish American,Ireland,2,2,65.92,G
Irish Cofaidh,Ireland,NA,NA,NA,G
Irish Diamonds,Ireland,5,4,73.17,F
Irish Grain Whiskey,Ireland,1,1,76,E
Irish Malt,Ireland,7,7,88.83,C
Irish Manor,Ireland,1,1,75,E
Irish Reserve,Ireland,1,1,85.96,C
Irish Single Malt,Ireland,20,20,90.06,B
Irish Single Malt Whiskey,Ireland,49,41,88.19,C
Irish Splendour,Ireland,1,NA,NA,G
Irish Whiskey,Ireland,9,9,85.07,C
Iron Smoke,United States,1,NA,NA,G
Ironweed,United States,4,NA,NA,G
Isaac Bowman,United States,1,NA,NA,G
Isaiah Morgan,United States,2,NA,NA,G
Isawa,Japan,4,4,68.39,G
ISC,,1,NA,NA,G
Isfjord,Denmark,2,NA,NA,G
Island,Scotland,4,3,87.11,C
Island Malt Whisky,Scotland,1,NA,NA,G
Island of Geese,Scotland,2,1,78,E
Island Prince,Scotland,1,NA,NA,G
Island Single Malt,Scotland,2,2,86.08,C
Islay,Scotland,80,53,85.85,C
Islay !,Scotland,2,2,84.51,D
Islay & Islay,Scotland,1,1,89,C
Islay 55%,Scotland,2,2,85.44,C
Islay Blended Malt,Scotland,22,14,86.55,C
Islay Blended Malt Scotch Whisky,Scotland,4,1,87.83,C
Islay Connection,Scotland,1,1,84,D
Islay Fusion,Scotland,4,3,86.22,C
Islay Grinn,Scotland,1,1,86.67,C
Islay King,Scotland,3,3,86.53,C
Islay Legend,Scotland,1,NA,NA,G
Islay Malt,Scotland,44,37,86.18,C
Islay meets Nicaragua,Scotland,1,1,82.5,D
Islay Mist,Scotland,30,22,80.47,D
Islay mu Dheas,Scotland,1,NA,NA,G
Islay New Filling Malt,Scotland,1,1,82.67,D
Islay North,Scotland,1,1,86.8,C
Islay PBS,Scotland,1,NA,NA,G
Islay Prestige,Scotland,1,1,85,C
Islay Region,Scotland,1,1,81.64,D
Islay Regional Collection,Scotland,1,NA,NA,G
Islay Reserve,Scotland,4,4,85.33,C
Islay Selection,Scotland,1,1,85.33,C
Islay Single Malt,Scotland,16,10,85.16,C
Islay Single Malt Scotch Whisky,Scotland,19,14,85.46,C
Islay Single Malt Whisky,Scotland,1,1,88.33,C
Islay South,Scotland,2,2,88.36,C
Islay Special,Scotland,1,1,81.25,D
Islay Storm,Scotland,3,3,81.09,D
Islay Time,Scotland,3,3,77.97,E
Islay Trilogy,Scotland,1,1,91.27,B
Islay Vatted Malt,Scotland,3,2,87.96,C
Islay Whisky,Scotland,1,1,88.38,C
Islay's Finest Single Malt,Scotland,2,1,86.4,C
ISLAYish,Scotland,1,1,79.67,E
Isle of Colonsay,Scotland,2,1,83.5,D
Isle of Innisfree,Ireland,1,NA,NA,G
Isle of Islay,Scotland,12,11,87.62,C
Isle of Jura,Scotland,563,426,83.73,D
Isle of Lime,Sweden,4,4,81.92,D
Isle of Mull,Scotland,3,2,88.59,C
Isle of Skye,Scotland,24,17,83.99,D
Isle of the Blessed,Scotland,1,1,88,C
It's 5,United States,2,1,75,E
Ivy Mountain,United States,2,NA,NA,G
J&B,Scotland,76,27,78.19,E
J. & G. Grant Ltd.,Scotland,4,3,91.76,B
J. B. Harper,United States,1,1,69,G
J. Burke,Scotland,1,NA,NA,G
J. Henry & Sons,United States,7,NA,NA,G
J. R. Ewing,United States,1,1,82,D
J. Riley Distillery,United States,1,NA,NA,G
J.A. Baczewski,Poland,1,1,69.29,G
J.A. Dougherty's Sons,United States,3,NA,NA,G
J.B.A.,Japan,1,1,67.89,G
J.G. Kinsey,Scotland,2,1,69,G
J.J. Corry,Ireland,2,2,82.5,D
J.Michard,France,2,2,77,E
J.P. Wiser's,Canada,24,15,79.79,E
J.T.S. Brown,United States,5,2,82,D
J.W. Dant,United States,23,5,80,D
Jack Brown,Scotland,2,NA,NA,G
Jack Daniel's,United States,380,229,77.96,E
Jack Russell,Canada,1,NA,NA,G
Jack Ryan,Ireland,4,4,84.7,D
Jack Strong,Scotland,2,2,73.25,F
Jack's Pirate,Germany,30,29,85.31,C
Jackson's Row,Scotland,1,1,77,E
Jacoulot,Scotland,3,2,83.17,D
Jaguar,Scotland,1,NA,NA,G
Jakubiak,Poland,1,1,82,D
James Ainslie & Co.,Scotland,1,NA,NA,G
James Caldwell & Son,Scotland,1,NA,NA,G
James E. Pepper,United States,2,NA,NA,G
James E. Pepper 1776,United States,10,7,82.1,D
James Eadie's,United Kingdom,2,1,85.6,C
James Gordon,Scotland,7,2,85.67,C
James Joyce No. 15,Ireland,1,1,83,D
James King,Scotland,8,1,55,G
James Martin's,Scotland,12,7,82.48,D
James Oliver,United States,3,1,81.75,D
James T. Kirk,United States,1,NA,NA,G
James Thompson & Brother,United States,1,NA,NA,G
Jameson,Ireland,140,95,80.18,D
Jamie O Six,Scotland,1,NA,NA,G
Jamie Stuart,Scotland,2,NA,NA,G
Jamie's,Scotland,1,NA,NA,G
Jan de Groot's Dram,Scotland,1,NA,NA,G
Jane Doe,Ireland,5,3,84.19,D
Japanese Blended Whisky,Japan,2,1,87.82,C
Japonism,Scotland,1,1,88.67,C
Jardine's,Scotland,1,NA,NA,G
Jas. Gordon & Co,Scotland,1,NA,NA,G
Jaume I,Scotland,1,NA,NA,G
Jeffer's Creek,United States,1,1,64,G
Jefferson's,United States,79,35,84.66,D
Jenaer Holzbock,Germany,6,1,75,E
Jeremiah Weed,United States,1,1,1,G
Jericho,Scotland,7,4,80.39,D
Jersey Cream,United States,4,NA,NA,G
Jersey Spirits Distilling Co.,United States,1,NA,NA,G
Jesse James,United States,2,1,63,G
Jessie James,United States,2,1,64,G
Jewels of Islay,Scotland,1,1,89,C
Jewish Whisky Company,United States,5,2,82,D
JF Strothman Distillery,United States,1,NA,NA,G
Jim Beam,United States,180,87,72.75,F
Jiu Hai Bu Gan,,2,1,78,E
Joce City,Sweden,1,1,49,G
Jockey Club,Scotland,2,NA,NA,G
Joey Dunlop Foundation,United Kingdom,NA,NA,NA,G
John B. Stetson,United States,2,2,72.72,F
John Barr,Scotland,8,2,68.63,G
John Begg,Scotland,9,2,84.34,D
John Brown's Special,Scotland,1,NA,NA,G
John Doe,United States,1,NA,NA,G
John Doe,Ireland,1,1,84,D
John Drake,Scotland,2,1,55,G
John Dunbar's,Scotland,1,NA,NA,G
John E. Fitzgerald,United States,1,NA,NA,G
John E. Fitzgerald Larceny,United States,5,3,83.26,D
John Emerald,United States,1,NA,NA,G
John Handy,Scotland,1,NA,NA,G
John J. Bowman,United States,6,2,86.67,C
John Jacob,United States,1,NA,NA,G
John Jameson,Ireland,11,4,82.43,D
John Jameson & Son,Ireland,32,11,85.01,C
John L. Sullivan,Ireland,3,2,79.5,E
John Langer,,1,1,68,G
John Lee,United States,2,1,24,G
John Locke,Ireland,2,NA,NA,G
John Malcom,Germany,2,1,67.25,G
John McCrae,Scotland,1,NA,NA,G
John McFours,Scotland,1,NA,NA,G
John McGeary's,Scotland,1,NA,NA,G
John Medley's,United States,2,2,72.17,F
John Myer,United States,4,2,79.5,E
John O'Groat's,Scotland,1,NA,NA,G
John Player Special,Scotland,2,1,77,E
John Poindexter,United States,1,NA,NA,G
John Power & Son,Ireland,20,11,84.07,D
John Scott's,Scotland,2,1,90,B
John Stoddart's,Scotland,1,NA,NA,G
John Walker & Sons,Scotland,19,7,89.44,C
Johnett,Switzerland,16,6,77.24,E
Johnnie Walker,Scotland,375,227,80.28,D
Johnny Drum,United States,7,5,76.58,E
Johnny Wright's,Scotland,1,1,80,D
"Jon, Mark and Robbo's",Scotland,8,6,83.92,D
Jones Road Distillery,Ireland,1,1,82.5,D
Joseph Magnus,United States,8,6,90.42,B
Joshua Brook,United States,2,2,75.25,E
Joshua Brooks,United States,3,1,90,B
Journeyman Distillery,United States,40,10,85.1,C
Jp. Moshi-Moshi,Japan,1,1,75,E
JSD,France,1,1,73,F
JT Forwarder,United States,1,NA,NA,G
Judd's,United States,1,NA,NA,G
Julius James,Philippines,1,NA,NA,G
Jura Cask,Scotland,1,1,86.67,C
Jurassic,Scotland,3,2,77,E
Jurgensen's,Scotland,1,NA,NA,G
Juveniles,Scotland,3,3,85.7,C
JZE Maryland,United States,1,NA,NA,G
K5,Bhutan,2,1,77.67,E
KaDeWe,Scotland,1,NA,NA,G
Kaerilis,France,12,2,84.34,D
Kagoshima,Japan,NA,NA,NA,G
Kahlgrund Whisky,Germany,1,1,74,F
Kaiyo,Japan,5,2,85,C
Kamiki,Japan,1,1,77.67,E
Kanosuke,Japan,1,NA,NA,G
Kansas Clean Distilled,United States,1,NA,NA,G
Karuizawa,Japan,525,364,88.87,C
Kavalan,Taiwan,928,598,86.75,C
Kavanagh,Ireland,6,1,77,E
Kawasaki,Japan,9,9,90.36,B
Keckeis,Austria,3,3,67.71,G
Kellan,Ireland,1,NA,NA,G
Kellerstrass,United States,2,NA,NA,G
Kelt,Scotland,2,1,82,D
Kelvin Hall,Scotland,1,1,88.33,C
Kemper's Roggen Whisky,Germany,2,2,84.43,D
Kempisch Vuur,Belgium,5,4,73.41,F
Ken's Choice,United States,1,NA,NA,G
Kenmore,Scotland,4,1,58,G
Kennaway,Scotland,2,2,85.25,C
Kenning,France,1,NA,NA,G
Kensington Wine Market,,1,1,90,B
Kentucky Baron,United States,1,NA,NA,G
Kentucky Boat,United States,3,NA,NA,G
Kentucky Bonded,United States,3,NA,NA,G
Kentucky Colonel,United States,2,2,76,E
Kentucky Crown,United States,2,1,94,B
Kentucky Dale,United States,1,NA,NA,G
Kentucky Deluxe,United States,3,NA,NA,G
Kentucky Eagle,United States,2,NA,NA,G
Kentucky Gentleman,United States,10,2,75.75,E
Kentucky Gold,United States,1,NA,NA,G
Kentucky Highway,United States,2,2,48.5,G
Kentucky Jack,United States,2,NA,NA,G
Kentucky Lucky Moonshine,United States,NA,NA,NA,G
Kentucky Nectar,United States,1,NA,NA,G
Kentucky Owl,United States,8,2,88.5,C
Kentucky Pride,United States,1,NA,NA,G
Kentucky Prize,United States,1,NA,NA,G
Kentucky Straight Bourbon,United States,2,1,68.5,G
Kentucky Tavern,United States,7,2,78,E
Kentucky Vintage,United States,5,5,80.97,D
Kentucky's Old Reserve,United States,1,1,82,D
Kerby House,Scotland,1,NA,NA,G
Kern,Ireland,1,NA,NA,G
Kessler,United States,1,1,77,E
Keuris,Netherlands,1,1,77.43,E
Kikori Whiskey,Japan,1,1,62,G
Kilbeggan,Ireland,37,22,77.2,E
Kilbride Dam,Scotland,3,2,88.5,C
Kilbridge,Scotland,1,NA,NA,G
Kilchoman,Scotland,548,423,85.89,C
Kildalton,Scotland,8,8,85.97,C
Kilkerran,Scotland,94,84,85.13,C
Killyloch,Scotland,4,3,87.75,C
Kilmartin Glen,Scotland,3,2,77,E
Kiln Embers,Scotland,1,1,83.23,D
Kilvannon,Ireland,1,NA,NA,G
Kinahan's,Ireland,2,2,82.29,D
Kincaple,Scotland,2,2,74.9,F
Kinclaith,Scotland,35,28,87.3,C
Kindilan,Canada,1,NA,NA,G
King Barley,Czech Republic,2,NA,NA,G
King Barleycorn,Czech Republic,1,NA,NA,G
King Charles,Scotland,1,1,78.5,E
King Davis,Scotland,1,NA,NA,G
King Duncan,Scotland,1,NA,NA,G
King Edgar,Scotland,1,1,69,G
King Edmund II,Scotland,1,NA,NA,G
King Edward,Scotland,1,NA,NA,G
King Edward I,Scotland,6,3,86.28,C
King Edward The First,Scotland,1,NA,NA,G
King George,Scotland,1,1,30,G
King George IV,Scotland,16,3,82.67,D
King Henry VIII,Scotland,1,NA,NA,G
King James,Scotland,1,NA,NA,G
King John,Scotland,4,1,83,D
King Malcolm,Scotland,1,1,82,D
King Mór,Scotland,2,1,78,E
King of Kentucky,United States,1,NA,NA,G
King of Queens,Scotland,4,2,77.5,E
King of Scots,Scotland,14,7,77.11,E
King Robert II,Scotland,4,4,70.04,F
King William IV,Scotland,2,1,82.5,D
King's Castle,Scotland,1,NA,NA,G
King's Celebration,Scotland,1,NA,NA,G
King's Choice,Scotland,10,1,78.5,E
King's Crest,Scotland,3,3,83.11,D
King's Pawn,Scotland,1,NA,NA,G
King's Pride,Scotland,2,1,90,B
King's Ransom,Scotland,9,2,80.5,D
King's Reserve,Scotland,1,NA,NA,G
King's Rider,Scotland,1,NA,NA,G
King's Royal,Scotland,2,1,81,D
Kingdom,Scotland,5,1,82,D
Kings Castle,United Kingdom,1,NA,NA,G
Kings County Distillery,United States,13,9,75.15,E
Kings Point,United States,1,NA,NA,G
Kings Privilege,Scotland,1,NA,NA,G
Kings Tower,Scotland,1,NA,NA,G
Kingsbarns,Scotland,2,2,79.13,E
Kingsburry,Scotland,1,NA,NA,G
Kingston,Scotland,1,NA,NA,G
Kininvie,Scotland,11,8,85.01,C
Kinloch Anderson,Scotland,9,1,79,E
Kinnickinnic Whiskey,United States,4,2,79.25,E
Kintore,Scotland,3,NA,NA,G
Kinzigbrennerei,Germany,15,8,73.44,F
Kirkland Signature,Scotland,9,5,75.33,E
Kirkwall,Scotland,3,1,94,B
Kirkwall Bay,Scotland,1,1,85.8,C
Kiss from Kirkwall,Scotland,1,1,86.21,C
Kit Kat Whisky,Scotland,1,NA,NA,G
Kittling Ridge,Canada,2,NA,NA,G
Kiyosato Field Ballet,Japan,4,4,91.39,B
Kkoullas,Cyprus,1,1,77,E
Kleine Duim,Netherlands,1,NA,NA,G
Kloster Machern,Germany,1,1,70,F
Kloster Whisky,Germany,1,1,83,D
Kloster Zinna,Germany,1,NA,NA,G
Knappogue Castle,Ireland,59,42,84.2,D
Knight of Swords,,1,1,85.5,C
Knight's Sword,Scotland,1,NA,NA,G
Knight's Tower,Scotland,1,NA,NA,G
Knights,South Africa,1,1,75,E
Knob Creek,United States,74,34,79.95,E
Knockando,Scotland,237,158,83.39,D
Knockandy Hill,,1,NA,NA,G
Knockdhu,Scotland,54,46,83.05,D
Knockeen Hills,Ireland,6,3,80.75,D
Kohut,Germany,1,NA,NA,G
Kolme Leijonaa,Finland,1,NA,NA,G
Köppel Brennerei,Germany,1,NA,NA,G
Kopper Kettle,United States,4,NA,NA,G
Kord's,Czech Republic,1,NA,NA,G
Kornog,France,56,48,85.72,C
Koshu,Japan,3,1,73.67,F
Koval,United States,38,27,77.46,E
Kozuba & Sons,United States,3,1,72.29,F
Kozue,Japan,1,NA,NA,G
Krautheimer,Germany,4,4,76.94,E
Krottentaler,Germany,3,1,75.33,E
Kuchh Nai,Scotland,1,1,79.25,E
Kümin Weinbau,Switzerland,5,4,74.13,F
Kura,Japan,2,1,79.33,E
Kylemore,Scotland,2,1,56,G
Kymsee,Germany,6,5,78.43,E
Kyrö Distillery Company,Finland,11,7,79.06,E
L. Mulligan Grocer,Ireland,1,1,81,D
L.&G.,United States,1,NA,NA,G
LA 1,United States,2,NA,NA,G
La Alazana,Argentina,1,NA,NA,G
La Famiglia Nostra,Germany,25,19,89.72,C
La Piautre,France,1,NA,NA,G
La Reserve,Scotland,1,NA,NA,G
Label 5,Scotland,16,7,72.55,F
Lac'Holl,France,3,3,80.83,D
Lachlan's,Scotland,1,NA,NA,G
Ladder Hills,Scotland,1,1,86.2,C
Lady Luck,Scotland,2,1,89.67,C
Lady Nicol,Scotland,1,NA,NA,G
Ladyburn,Scotland,46,26,89.15,C
Lagafoya,Germany,1,NA,NA,G
Lagavulin,Scotland,366,323,88.85,C
Laggan Mill,Scotland,26,21,85.54,C
Lagler,Austria,4,4,80.63,D
Lahnsteiner Brauerei,Germany,2,1,68.25,G
Laird O' Logan,Scotland,2,1,74,F
Laird of Fintry,Canada,1,NA,NA,G
Lakeland,Switzerland,13,8,80.39,D
Lambay Whiskey,Ireland,2,2,77.25,E
Lambertus,Belgium,6,5,76.62,E
Lammerlaw,New Zealand,22,11,83.14,D
Lanark,Scotland,1,NA,NA,G
Lancelot,Scotland,2,1,85,C
Lancer's Flag,Scotland,1,1,91.26,B
Landbrennerei Mühlhäuser,Germany,2,2,70.5,F
Lands of Scotland,Scotland,7,4,76.13,E
Langatun,Switzerland,38,24,83.26,D
Langs,Scotland,30,10,81.03,D
Langside,Scotland,5,NA,NA,G
Lanius,United States,1,NA,NA,G
Lapbeg,Scotland,1,1,85.67,C
Laphroaig,Scotland,2190,1741,87.51,C
Large Club,Scotland,1,NA,NA,G
Largiemeanoch,Scotland,16,11,90.8,B
Lark,Australia,49,27,79.9,E
Las Vegas Distillery,United States,16,16,80.41,D
Lascaw,France,2,2,74.43,F
Last Mountain,Canada,4,3,77.5,E
Laudale,Scotland,1,1,87.3,C
Lauder's,Scotland,19,10,75.6,E
Lava Bräu,Austria,20,1,54,G
Lawrence Scott,Scotland,1,NA,NA,G
Lawrenceburg,United States,2,1,81,D
LBL,United States,3,NA,NA,G
Le Dùrachdan,Scotland,1,1,80.25,D
Leadslingers,United States,2,NA,NA,G
Lechtaler Haussegen,Austria,2,NA,NA,G
Ledaig,Scotland,688,563,85.65,C
Legacy,Scotland,1,NA,NA,G
Legendary Scot,Scotland,1,1,85,C
Legs Diamond,United States,2,NA,NA,G
LeNell's,United States,2,2,88.5,C
Leòmhann,Scotland,2,2,90.17,B
Leopold Bros,United States,6,2,70.59,F
Lexington,United States,5,1,76.5,E
LF Whisky,,1,NA,NA,G
Liber,Spain,1,1,70.67,F
Liberty Call,United States,1,NA,NA,G
Liddesdale,Scotland,10,10,86.78,C
Light Brigade,Scotland,1,1,70,F
Like a Villain,Scotland,1,1,86.67,C
Limeburners,Australia,36,12,77.65,E
Limerick,Ireland,10,8,87.76,C
Limestone Branch,United States,3,1,87,C
Limited,Scotland,1,1,88.5,C
Limousin Rye,United States,1,NA,NA,G
Lindrum,Scotland,1,1,79.5,E
LINK,,1,NA,NA,G
Linkphroaigh,Scotland,1,NA,NA,G
Linkwood,Scotland,1218,807,85.84,C
Linlithgow,Scotland,78,62,88.55,C
Linn House Reserve,Scotland,3,3,88.39,C
Lion's Pride,United States,14,3,72,F
Lion's Vat,Scotland,1,1,92,B
Lionstone,United States,1,1,81.5,D
Liquormen’s Ol�?Dirty Canadian Whisky,Canada,1,NA,NA,G
Lismore,Scotland,13,6,80.33,D
Little Book,United States,1,1,88,C
Little Frog,Scotland,1,1,60,G
Little Piggy,Scotland,2,2,76.72,E
Little Red Door,France,1,NA,NA,G
Little Thin Man,Scotland,1,NA,NA,G
Littlemill,Scotland,551,453,86.96,C
Liverpool Whisky,England,2,NA,NA,G
Liwhinthsky,Switzerland,2,2,76.67,E
Lo Artisan,United States,1,NA,NA,G
Lobangernich,Germany,4,4,75.34,E
Local Choice,United States,1,NA,NA,G
Loch Bay,Scotland,1,NA,NA,G
Loch Castle,Scotland,3,1,64.5,G
Loch Corrie,Scotland,1,NA,NA,G
Loch Donald,Scotland,1,NA,NA,G
Loch Ewe,Scotland,11,4,73.48,F
Loch Ìle,Scotland,1,1,85,C
Loch Indaal,Scotland,10,2,89.63,C
Loch Islay,Scotland,1,NA,NA,G
Loch Lomond,Scotland,117,80,78.73,E
Loch Morar,Scotland,2,NA,NA,G
Loch Ness,Scotland,5,2,74.08,F
Loch Ness Water,Scotland,1,NA,NA,G
Lochan Sholum,Scotland,1,1,88.24,C
Lochan Solan,Scotland,2,NA,NA,G
Lochindaal,Scotland,24,19,86.26,C
Lochinvar,Scotland,5,1,76.5,E
Lochlann,Scotland,1,NA,NA,G
Lochleven,Scotland,1,NA,NA,G
Lochlins,Scotland,1,NA,NA,G
Lochness,Scotland,1,NA,NA,G
Lochranza,Scotland,33,22,83.03,D
Lochruan,Scotland,1,1,79,E
Lochside,Scotland,175,147,88.41,C
Lock Stock & Barrel,Canada,5,3,84.73,D
Locke's,Ireland,15,8,79.35,E
Logan,Scotland,17,7,83.6,D
Lohin McKinnon,Canada,1,1,77,E
Lombard Gold Label,Scotland,3,2,81.34,D
Lomond,Scotland,2,1,84.67,D
Lone Oak,United States,1,1,92,B
Lone Whisker,United States,1,1,87,C
Long Island o'OldTymer,United States,NA,NA,NA,G
Long John,Scotland,28,16,75.08,E
Long Wood,Canada,3,3,66.93,G
Longhorn Moonshine,Germany,3,NA,NA,G
Longmorn,Scotland,1152,884,87.39,C
Longrow,Scotland,343,250,87.61,C
